,player_id,season,week,player_display_name,position,True rushing_yards,Projected rushing_yards,Average rushing_yards,STD rushing_yards,True rushing_tds,Projected rushing_tds,Average rushing_tds,STD rushing_tds,True rushing_fumbles_lost,Projected rushing_fumbles_lost,Average rushing_fumbles_lost,STD rushing_fumbles_lost,True receiving_yards,Projected receiving_yards,Average receiving_yards,STD receiving_yards,True receiving_tds,Projected receiving_tds,Average receiving_tds,STD receiving_tds,True receptions,Projected receptions,Average receptions,STD receptions,True receiving_fumbles_lost,Projected receiving_fumbles_lost,Average receiving_fumbles_lost,STD receiving_fumbles_lost,True passing_yards,Projected passing_yards,Average passing_yards,STD passing_yards,True passing_tds,Projected passing_tds,Average passing_tds,STD passing_tds,True passing_interceptions,Projected passing_interceptions,Average passing_interceptions,STD passing_interceptions
158,00-0031280,2024,1,Derek Carr,QB,13,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,200.0,224.4712415687397,0.0,0.0,3.0,1.4078323863301259,0.0,0.0,0.0,0.753970408129517,0.0,0.0
162,00-0031299,2024,1,Jordan Matthews,TE,0,9.508135522956373,0.0,0.0,0,0.06653628667568098,0.0,0.0,0,0.017050690235226915,0.0,0.0,0,22.52289590346232,0.0,0.0,0,0.1358397207433888,0.0,0.0,0,1.968088722847688,0.0,0.0,0.0,0.010655927836504958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,00-0031381,2024,1,Davante Adams,WR,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,59,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,5,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,00-0031408,2024,1,Mike Evans,WR,0,9.97147677903038,0.0,0.0,0,0.06529625006426618,0.0,0.0,0,0.021284024240133124,0.0,0.0,61,24.53542263237002,0.0,0.0,2,0.14958472727129335,0.0,0.0,5,2.184938275376572,0.0,0.0,0.0,0.01256981202794068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,00-0031544,2024,1,Amari Cooper,WR,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,16,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,2,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,00-0031549,2024,1,Nelson Agholor,WR,0,9.508135522956373,0.0,0.0,0,0.06653628667568098,0.0,0.0,0,0.017050690235226915,0.0,0.0,6,22.52289590346232,0.0,0.0,0,0.1358397207433888,0.0,0.0,1,1.968088722847688,0.0,0.0,0.0,0.010655927836504958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,00-0031585,2024,1,MyCole Pruitt,TE,0,9.063601266211752,0.0,0.0,0,0.06167457522361994,0.0,0.0,0,0.01531445729128165,0.0,0.0,9,20.91503940595586,0.0,0.0,0,0.12474485599150778,0.0,0.0,1,1.8250066910724168,0.0,0.0,0.0,0.010123087667192587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,00-0031588,2024,1,Stefon Diggs,WR,6,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,33,24.13075240096878,0.0,0.0,2,0.1469345854952698,0.0,0.0,6,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,00-0031687,2024,1,Raheem Mostert,RB,9,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,10,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,2,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,00-0031690,2024,1,Eric Tomlinson,TE,0,9.668137266815757,0.0,0.0,0,0.0682861682622373,0.0,0.0,0,0.01772408211906672,0.0,0.0,0,23.10161360535693,0.0,0.0,0,0.1398331086122675,0.0,0.0,0,2.019588408758597,0.0,0.0,0.0,0.010862588035327962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
